survey_id,employee_id,survey_date,satisfaction_score,engagement_score,work_life_balance_score,manager_relationship_score,career_growth_score,compensation_satisfaction_score
900552,100252,2025-08-02,2,2,2,2,2,2
900553,100252,02/17/2026,2,3,2,2,2,3
900554,100253,2022/10/27,3,2,2,3,3,3
900555,100253,2023-01-20,2,2,2,2,3,2
900556,100253,09/01/2023,3,4,,3,3,2
900557,100254,2022-03-16,3,3,3,3,3,2
900558,100254,2024-06-02,4,4,2,3,4,4
900559,100254,"Aug 09, 2024",4,4,4,3,3,4
900560,100254,2024-09-21,4,4,4,3,4,3
900561,100255,2023-11-05,4,4,4,5,4,4
900562,100255,2025-02-15,3,4,4,4,3,3
900563,100256,05/01/2025,3,3,4,4,5,3
900564,100257,"Sep 14, 2025",3,3,3,2,3,4
900565,100258,2024-02-23,4,4,5,5,4,4
900566,100258,2025-08-27,4,3,3,3,4,4
900567,100259,"Mar 09, 2025",2,2,2,3,3,3
900568,100259,2025-06-10,2,2,2,1,2,2
900569,100261,"Feb 25, 2023",3,2,2,2,2,3
900570,100261,01/15/2026,3,2,3,4,3,3
900571,100263,"Feb 18, 2023",4,3,4,3,3,2
900572,100264,30-04-2022,3,3,3,3,3,4
900573,100264,2023-09-20,3,4,3,3,3,2
900574,100264,20-12-2023,3,2,3,3,2,2
900575,100264,02-07-2025,3,3,3,3,3,3
900576,100265,2022-11-02,2,2,2,1,2,
900577,100265,23-09-2023,3,3,,4,2,
900578,100265,2023-09-24,3,2,3,3,3,1
900579,100265,2023-09-27,3,3,4,4,3,3
900580,100266,06/21/2025,3,3,3,3,3,3
900581,100266,2025-11-15,3,4,4,4,3,3
900582,100266,2026-01-31,4,4,4,,3,3
900583,100267,06-08-2024,4,4,5,4,3,3
900584,100268,2025-03-23,4,3,3,4,3,4
900585,100268,2025-05-04,4,3,5,3,4,4
900586,100268,2026-03-01,3,3,4,3,4,3
900587,100269,2022-01-20,3,4,4,4,2,2
900588,100270,2022-04-25,4,4,4,3,5,4
900589,100270,"Nov 29, 2023",4,4,5,3,4,4
900590,100270,2024-09-29,4,3,5,4,4,4
900591,100270,12/11/2025,5,5,5,5,4,4
900592,100271,15-10-2023,3,3,4,3,3,3
900593,100272,2022-04-01,4,4,4,4,4,4
900594,100272,04/29/2023,3,3,4,4,3,3
900595,100272,2023-10-15,4,4,4,5,4,4
900596,100272,2024-11-08,3,4,3,3,3,3
900597,100273,"Jan 14, 2022",2,1,3,3,2,2
900598,100273,04/30/2022,2,3,2,2,2,2
900599,100274,2023-12-12,4,,3,4,4,2
900600,100274,2024-10-11,3,3,3,4,3,3
900601,100275,2026-01-25,3,3,3,3,2,3
900602,100276,2024/02/15,2,2,1,2,1,1
900603,100276,2024-05-28,2,2,3,3,3,3
900604,100276,2025-07-22,2,2,2,1,1,
900605,100276,2025-10-25,1,1,1,2,1,1
900606,100277,2022/03/19,3,3,3,3,4,2
900607,100278,2022/09/11,3,2,2,3,3,3
900608,100279,2026-04-03,4,3,4,4,3,
900609,100279,2026-04-12,3,3,3,4,2,3
900610,100279,2026-04-22,3,3,3,2,3,2
900611,100279,2026-04-28,3,3,2,3,4,3
900612,100280,not available,5,5,,4,5,5
900613,100280,2026-04-17,4,4,4,4,3,3
900614,100281,2026/01/23,4,4,5,5,5,4
900615,100281,"Feb 19, 2026",4,3,3,4,3,4
900616,100281,2026-02-19,5,5,5,5,4,5
900617,100281,2026-02-19,4,4,5,4,4,4
900618,100282,2022-01-19,4,2,,4,3,3
900619,100282,2022-09-15,4,4,5,3,3,4
900620,100282,2025-07-01,4,4,5,4,4,3
900621,100282,"Sep 17, 2025",4,4,5,4,4,4
900622,100283,2025-05-19,2,3,2,2,2,1
900623,100283,2026-01-02,2,2,2,3,2,1
900624,100284,2022-10-14,5,4,5,2,5,4
900625,100284,2024-05-09,5,5,5,5,4,5
900626,100284,2025-10-01,5,5,5,4,5,5
900627,100285,2023-01-27,3,4,3,4,3,3
900628,100285,2024/06/17,4,4,3,4,4,3
900629,100285,2025-11-23,4,3,3,3,3,4
900630,100285,2026-02-04,3,4,,3,3,
900631,100286,2022-03-18,4,3,4,3,3,3
900632,100286,2024-07-27,5,5,4,5,5,5
900633,100287,2025-05-22,4,4,5,4,4,
900634,100287,"Jun 23, 2025",5,5,5,5,5,5
900635,100288,2022-04-03,3,4,4,3,3,4
900636,100289,2022-06-09,3,3,3,3,2,3
900637,100289,2023-07-10,3,3,2,3,3,3
900638,100289,2025-03-21,3,3,3,3,2,2
900639,100289,2025-08-06,3,4,3,3,2,3
900640,100290,"Feb 28, 2023",3,3,3,4,4,3
900641,100290,2024/11/16,3,3,3,3,3,3
900642,100291,21-10-2023,3,3,3,3,3,3
900643,100292,08/30/2022,4,,4,4,3,4
900644,100292,2022-09-12,4,4,4,5,5,
900645,100292,2024-01-02,3,3,3,3,2,3
900646,100293,06/15/2024,2,3,2,2,2,2
900647,100293,2024-09-19,3,4,3,4,3,3
900648,100295,"Oct 27, 2022",5,5,4,5,5,
900649,100295,2026/04/28,4,5,5,3,4,5
900650,100296,2022/10/10,4,5,4,5,5,5
900651,100296,"Jan 26, 2024",3,3,3,3,3,2
900652,100296,2025-02-15,4,5,4,,4,4
900653,100296,2025-03-01,5,4,4,4,5,4
900654,100297,23-02-2025,3,3,3,3,4,3
900655,100297,2025-08-22,3,3,3,3,3,3
900656,100297,2025-08-26,3,4,3,4,4,3
900657,100297,2026-01-29,3,3,3,5,3,3
900658,100298,2023-05-15,3,3,3,2,3,
900659,100298,2023-10-24,2,2,2,2,3,2
900660,100298,2026-02-27,3,4,3,4,3,3
900661,100299,"Apr 19, 2023",4,4,4,4,4,3
900662,100299,2024-04-01,3,4,3,3,2,2
900663,100299,2024-11-28,3,3,4,3,3,3
900664,100299,04/23/2026,4,,4,3,3,3
900665,100300,2023-04-04,3,3,3,4,,4
900666,100300,2023-05-14,4,4,5,4,4,4
900667,100300,2023-06-13,3,3,3,3,3,4
900668,100302,2024-02-08,4,4,4,5,4,4
900669,100303,2022-12-30,3,2,2,4,2,2
900670,100303,2023-06-19,3,3,4,3,3,3
900671,100303,2023-08-20,2,3,1,3,2,2
900672,100304,11/29/2023,2,2,2,2,2,2
900673,100304,01/15/2025,3,3,4,3,3,2
900674,100307,08-08-2023,3,4,4,3,2,3
900675,100307,2025-04-12,3,,3,2,3,3
900676,100307,2026-01-30,3,3,3,4,4,3
900677,100308,2022-12-15,3,3,3,3,3,3
900678,100308,2023-07-18,3,3,3,2,2,2
900679,100309,2024-07-15,3,4,4,3,4,2
900680,100310,"Mar 19, 2022",2,2,2,2,1,2
900681,100311,2022-10-02,4,3,4,3,4,5
900682,100311,2024-12-31,4,5,5,5,5,4
900683,100311,2025-06-20,4,5,5,5,4,4
900684,100311,06-03-2026,4,4,4,4,4,3
900685,100312,2023-11-17,4,4,4,4,3,4
900686,100312,2025-06-10,4,3,4,3,4,3
900687,100312,03/06/2026,3,2,3,2,3,3
900688,100312,2026-04-26,4,3,5,4,4,3
900689,100313,2024-11-05,3,3,3,3,4,3
900690,100313,01/10/2025,3,2,3,3,3,3
900691,100313,2025-01-26,3,2,3,2,2,2
900692,100314,2022-08-14,3,2,4,3,3,3
900693,100314,2023-06-02,3,2,3,4,3,3
900694,100314,2024-06-26,3,3,3,3,,3
900695,100315,2025-04-03,4,3,3,3,4,3
900696,100315,04/04/2025,5,5,5,4,5,5
900697,100315,2026-01-22,5,5,3,4,4,4
900698,100317,2025-06-09,4,4,3,4,4,5
900699,100317,2025-06-18,4,4,4,4,4,4
900700,100317,2025-07-04,4,4,4,3,5,2
900701,100317,2026-05-01,4,4,4,5,4,4
900702,100318,2022-01-28,2,2,2,2,3,2
900703,100318,not available,2,2,,2,1,2
900704,100318,2026-02-25,3,3,4,3,3,2
900705,100319,16-01-2026,4,4,4,4,4,3
900706,100319,02-03-2026,4,4,4,4,4,4
900707,100319,03/30/2026,4,,4,4,3,2
900708,100320,2024-08-13,4,5,5,4,4,5
900709,100320,2025-05-19,5,5,5,5,5,5
900710,100320,2025-09-04,5,5,5,5,5,
900711,100321,2022-03-08,4,4,4,5,5,2
900712,100322,15-12-2023,2,2,3,2,2,
900713,100322,2024-07-26,2,2,2,2,1,2
900714,100322,2024-11-12,2,1,2,2,2,1
900715,100323,2022-11-01,5,4,5,4,4,4
900716,100324,02/18/2025,2,2,2,2,2,1
900717,100324,2025-04-24,3,3,2,2,3,
900718,100324,2025-06-07,2,2,3,2,2,1
900719,100324,2025-06-18,2,2,1,1,2,1
900720,100325,2022-01-12,4,5,5,4,5,4
900721,100325,2022-01-26,4,5,4,3,4,3
900722,100325,2025-05-28,4,3,4,3,4,4
900723,100326,2025-07-27,3,3,4,2,3,2
900724,100327,2023-12-16,3,2,2,3,2,3
900725,100328,2025-12-14,3,3,3,1,2,2
900726,100328,2026-04-17,3,3,4,3,4,3
900727,100329,08/09/2022,2,2,2,2,2,3
900728,100330,2022-01-10,2,3,3,2,2,2
900729,100330,2022-03-23,3,3,3,3,4,3
900730,100330,2022-08-22,2,2,2,1,2,2
900731,100331,2026-04-11,2,2,2,2,1,1
900732,100332,2023-09-30,4,4,3,4,4,4
900733,100332,03/16/2024,3,4,4,4,2,3
900734,100332,2026-03-11,4,4,5,4,4,5
900735,100333,02-04-2025,3,3,3,3,3,3
900736,100333,2025-08-12,4,3,3,,4,2
900737,100333,11/17/2025,3,4,3,3,3,2
900738,100333,2026-01-21,3,3,3,2,3,2
900739,100334,2023-01-14,4,5,4,4,5,4
900740,100334,01-03-2024,4,4,4,4,4,4
900741,100334,2024/12/28,4,4,4,4,4,4
900742,100334,2025-01-04,4,5,4,4,4,4
900743,100335,2024-10-23,2,3,3,2,3,2
900744,100335,2025-04-06,3,2,3,3,3,2
900745,100336,02/22/2022,4,3,4,3,4,
900746,100336,2022-08-10,3,3,2,4,2,
900747,100336,2022/12/31,3,3,,3,3,3
900748,100336,2024-12-11,4,4,4,4,4,4
900749,100337,2025-10-11,4,4,4,5,4,4
900750,100338,2022-01-28,4,3,4,3,3,3
900751,100338,"Aug 27, 2022",4,4,4,5,3,4
900752,100338,2022-09-15,4,4,4,3,3,3
900753,100338,2022-12-13,4,4,4,3,4,4
900754,100340,2022-06-26,3,2,4,2,3,2
900755,100340,2023-05-22,3,3,3,3,3,3
900756,100340,2023-10-21,4,4,4,3,4,4
900757,100340,2025-07-09,3,3,4,3,3,3
900758,100341,03/10/2022,3,3,3,3,2,2
900759,100341,08/05/2023,4,4,4,4,5,3
900760,100341,2025-07-26,4,3,4,4,4,4
900761,100343,2023-01-01,0,4,5,4,,4
900762,100343,2024-06-05,4,4,4,5,3,4
900763,100343,12-03-2025,4,4,4,5,4,4
900764,100344,2023-11-25,3,2,2,2,3,3
900765,100346,2022-01-29,3,3,4,,3,4
900766,100346,2022-10-10,3,3,4,3,3,3
900767,100346,2022-11-08,4,4,4,5,4,3
900768,100347,2025/11/14,3,3,4,2,3,2
900769,100347,2026-01-01,3,3,3,3,2,3
900770,100347,2026-03-27,3,2,2,3,3,1
900771,100349,04/07/2026,3,3,3,3,3,3
900772,100349,2026-04-21,2,2,3,1,3,2
900773,100349,2026-04-28,3,3,2,4,2,2
900774,100350,2025-09-26,3,3,3,3,3,3
900775,100350,2025-11-27,4,4,,4,3,4
900776,100350,2026-04-10,3,3,3,2,3,3
900777,100352,2023/01/28,3,3,4,4,4,3
900778,100352,2026-01-09,3,3,4,4,3,3
900779,100352,02/22/2026,4,4,4,4,4,3
900780,100353,2023-07-11,4,3,3,4,5,4
900781,100353,2023-11-08,2,2,2,2,1,1
900782,100353,"Jan 06, 2024",3,3,4,2,3,2
900783,100354,2023-04-12,3,4,4,3,3,2
900784,100354,2024-03-10,4,4,4,4,4,4
900785,100354,2024-07-09,5,4,5,5,5,5
900786,100355,"Dec 13, 2022",2,1,2,2,2,2
900787,100355,07/16/2023,3,3,3,3,2,2
900788,100355,2023-10-23,1,1,2,1,1,1
900789,100356,2024-03-27,4,4,4,4,4,3
900790,100357,2022-05-03,5,5,5,5,5,5
900791,100357,2022-10-16,4,4,5,3,5,
900792,100359,2022-09-16,4,3,4,4,4,4
900793,100359,2025-06-05,4,4,5,4,4,4
900794,100360,2025-05-07,1,1,1,1,1,2
900795,100361,2023-06-04,3,4,4,3,3,3
900796,100361,2023-06-04,3,3,3,3,3,3
900797,100361,14-07-2023,3,3,4,4,4,4
900798,100361,2025-02-02,3,3,4,4,2,
900799,100362,2022-11-11,3,3,,3,4,3
900800,100362,2023-01-24,3,3,3,3,3,4
900801,100362,2024-03-23,4,3,4,4,4,3
900802,100362,2024-06-10,4,4,4,4,4,3
900803,100363,2022/06/29,4,4,4,4,5,4
900804,100363,26-11-2025,4,3,3,4,4,2
900805,100364,2022-05-24,5,4,4,5,5,4
900806,100364,23-06-2023,4,4,,4,4,4
900807,100364,2023-12-13,3,,4,,,
900808,100364,01-03-2025,4,4,2,2,3,2
900809,100365,2024-12-30,4,4,4,4,3,4
900810,100366,2024/01/23,4,4,4,3,5,4
900811,100366,"Jun 18, 2025",4,4,4,4,4,4
900812,100366,2026-01-06,4,3,3,4,4,3
900813,100366,2026-04-15,4,4,4,4,4,4
900814,100367,2025-10-21,3,3,3,3,3,3
900815,100367,2026-02-16,3,2,3,,4,3
900816,100368,05/11/2022,3,3,3,3,2,3
900817,100368,2023-01-04,4,4,5,4,4,5
900818,100368,2023-12-15,4,3,5,4,4,3
900819,100368,2024-09-23,4,4,5,4,4,4
900820,100369,2023-11-05,4,3,3,3,3,4
900821,100369,"Jun 09, 2025",4,3,5,4,3,3
900822,100370,2025-06-23,3,,3,2,3,3
900823,100370,2025-08-12,3,3,3,2,2,3
900824,100370,25-12-2025,2,3,3,2,3,2
900825,100371,2023-11-19,4,4,5,4,4,4
900826,100372,2024-10-27,4,4,5,4,4,4
900827,100372,2025-06-16,3,3,3,4,4,3
900828,100373,03/30/2026,4,4,4,3,3,3
900829,100374,2022-10-10,4,4,4,3,4,3
900830,100374,31-05-2023,4,4,5,4,4,5
900831,100374,2025-03-30,4,5,3,5,3,4
900832,100374,2025-05-09,4,3,4,3,5,3
900833,100376,2023-01-02,3,2,4,2,,4
900834,100377,2023-06-01,3,3,3,4,3,3
900835,100377,2024-07-17,5,5,4,5,5,4
900836,100377,2025-07-23,4,5,4,5,4,4
900837,100378,"Jul 31, 2022",3,2,2,3,3,3
900838,100378,2023-06-23,3,2,3,,2,3
900839,100378,2024-01-26,3,4,3,3,3,4
900840,100378,2024-11-24,3,3,3,2,3,3
900841,100379,"Feb 03, 2023",5,5,5,5,5,4
900842,100379,2025/10/25,5,5,5,5,5,
900843,100380,"Jan 30, 2024",2,2,,2,1,2
900844,100380,2024-04-15,,1,1,1,1,1
900845,100380,2024-10-22,2,1,2,1,1,1
900846,100381,2022-06-03,4,4,3,3,4,4
900847,100381,2025-10-12,4,3,4,3,4,3
900848,100381,2025-10-14,3,4,3,,4,3
900849,100382,2022-05-15,3,3,3,3,2,3
900850,100382,21-05-2024,4,4,4,4,4,3
900851,100383,2024-03-03,3,4,4,3,3,3
900852,100383,03/14/2024,3,,3,3,2,2
900853,100383,2024-09-02,3,3,3,3,3,3
900854,100383,"Mar 06, 2026",4,4,,5,3,3
900855,100384,2023-02-03,4,4,2,4,3,3
900856,100384,02/02/2024,4,4,3,4,4,3
900857,100384,2026-01-26,4,4,,4,3,3
900858,100386,2023-11-10,5,4,4,5,5,5
900859,100386,2024-07-10,4,4,4,3,5,3
900860,100387,2022-11-20,4,4,4,4,4,5
900861,100388,2022-01-22,4,4,3,4,5,4
900862,100388,2024-08-19,3,3,3,3,3,2
900863,100389,03/17/2023,4,4,4,4,4,4
900864,100391,2022-06-14,3,3,4,3,2,3
900865,100391,2023-04-26,3,4,4,3,4,4
900866,100391,"Nov 15, 2025",3,3,3,3,2,2
900867,100392,2024-11-01,3,3,3,3,3,3
900868,100392,2025-07-20,3,4,4,,2,3
900869,100392,2026-01-02,3,3,3,4,3,2
900870,100393,2023-11-14,5,4,4,5,4,3
900871,100393,2024-05-31,4,4,4,4,4,4
900872,100393,2025-10-21,4,3,4,5,4,4
900873,100393,2026-01-28,4,4,4,4,5,4
900874,100394,2022-07-31,4,4,3,4,5,4
900875,100394,2025-04-08,4,3,4,4,4,3
900876,100395,2025-02-05,4,4,4,4,4,3
900877,100395,2025-09-18,4,4,5,4,5,5
900878,100395,2026-01-13,4,4,4,4,4,5
900879,100396,2023-09-04,3,3,3,4,3,
900880,100396,2025-05-21,3,2,3,2,2,2
900881,100397,2022-10-28,4,4,3,3,3,
900882,100397,2022-11-02,4,3,5,4,4,4
900883,100398,2024-06-09,3,3,2,3,3,3
900884,100398,2025-12-02,4,4,5,4,3,3
900885,100399,2022-01-10,3,3,3,2,3,3
900886,100399,2023-01-24,2,2,3,3,1,2
900887,100401,2022-08-24,3,3,3,3,3,3
900888,100401,2023-11-18,3,3,3,3,3,3
900889,100401,2024-08-02,3,2,3,3,2,2
900890,100401,2024-12-01,3,3,3,3,3,3
900891,100402,2022-02-28,4,4,5,3,3,3
900892,100402,2024-11-11,3,3,4,2,3,4
900893,100402,2025/09/16,3,3,2,2,3,3
900894,100403,2025-04-25,4,4,4,4,,4
900895,100404,01-05-2025,5,5,4,5,5,3
900896,100405,2022-11-20,3,3,3,2,3,4
900897,100405,"Oct 10, 2025",3,2,,3,3,3
900898,100405,2026-03-04,2,2,3,3,,2
900899,100406,13-11-2022,4,4,5,4,5,5
900900,100406,2023-05-14,3,4,3,4,4,3
900901,100406,2025-04-15,4,3,4,,4,3
900902,100407,2024-08-21,4,4,3,,4,3
900903,100408,"Mar 18, 2022",3,3,2,3,2,2
900904,100408,2022-04-01,4,2,3,3,3,4
900905,100408,2022-07-25,3,3,3,4,3,3
900906,100408,2023-04-23,3,3,2,2,3,3
900907,100411,2023-03-12,3,4,2,3,3,3
900908,100412,2026-03-22,3,3,4,3,3,3
900909,100412,2026-04-06,3,3,,4,3,3
900910,100412,2026-04-13,2,2,3,3,2,2
900911,100413,2023-10-01,2,2,3,2,1,2
900912,100414,2022-12-30,4,5,4,5,4,5
900913,100414,2024-03-30,4,,3,4,4,3
900914,100414,2025-08-07,3,4,4,3,4,3
900915,100414,2025-10-13,3,3,4,2,3,2
900916,100415,2024-02-17,4,4,5,4,4,4
900917,100415,2025-05-23,3,3,3,2,3,3
900918,100416,2025-06-02,3,3,3,3,4,3
900919,100416,02-04-2026,4,4,5,4,5,4
900920,100417,10/07/2025,3,3,3,2,2,2
900921,100418,2025-09-22,3,3,2,3,3,1
900922,100419,2025-12-04,3,3,3,3,2,3
900923,100420,"May 24, 2025",3,3,2,3,4,3
900924,100420,2025-08-16,4,4,5,3,3,4
900925,100421,2023-01-03,3,4,4,4,3,4
900926,100421,2023-07-24,3,4,3,4,3,3
900927,100421,2025/09/09,3,3,3,2,3,3
900928,100422,"Aug 22, 2022",4,,3,5,4,4
900929,100422,2022-09-25,4,3,4,3,4,3
900930,100422,2023-02-25,5,5,5,5,5,5
900931,100422,2024-03-06,4,4,4,4,5,4
900932,100423,2022-04-09,3,3,3,3,3,2
900933,100423,2024-05-19,2,2,2,3,2,1
900934,100423,2024/05/31,2,2,3,2,2,2
900935,100425,2025-08-28,3,4,3,4,3,3
900936,100425,2026-02-17,4,3,3,4,3,4
900937,100426,2022-04-23,4,4,4,4,4,4
900938,100427,2024-05-22,3,2,2,3,3,2
900939,100428,2023-02-14,2,3,2,2,2,2
900940,100428,2024-05-22,4,,4,,3,3
900941,100428,2026-04-05,3,4,3,3,3,3
900942,100429,2026-01-28,3,3,4,3,3,2
900943,100430,2022-08-22,3,3,4,3,2,3
900944,100430,2022-09-24,3,3,2,1,3,3
900945,100430,2024-01-22,3,4,4,4,4,3
900946,100430,2025-09-22,3,3,3,4,3,4
900947,100431,2022-10-02,3,3,3,2,3,3
900948,100431,01/03/2023,3,3,3,3,3,3
900949,100431,2023-06-13,3,3,4,4,3,3
900950,100431,2024-02-05,4,4,3,3,4,2
900951,100432,2022-01-03,3,3,3,3,5,3
900952,100432,2023-05-08,3,3,3,3,3,2
900953,100432,2024-03-04,4,4,4,5,5,3
900954,100433,2022-02-07,2,1,1,2,2,1
900955,100433,2022-02-09,2,2,2,4,1,1
900956,100433,2022-10-10,3,4,3,3,2,3
900957,100433,10/15/2024,2,2,2,3,3,2
900958,100434,2022-07-08,4,4,5,4,3,4
900959,100434,2023/06/09,4,4,4,5,4,5
900960,100434,2024-06-06,4,5,5,4,5,4
900961,100435,2022-04-18,4,4,,3,5,4
900962,100435,2025-06-15,3,3,4,3,3,3
900963,100435,01/22/2026,3,4,3,3,3,3
900964,100436,2023-03-11,4,4,3,4,4,3
900965,100437,2022-06-28,4,4,4,3,3,4
900966,100437,18-10-2025,4,4,5,5,4,5
900967,100437,2025-10-22,4,4,4,3,3,3
900968,100438,2022-12-11,2,2,2,1,2,2
900969,100439,07/27/2023,4,3,3,4,3,4
900970,100439,09/03/2024,5,5,4,5,5,5
900971,100440,2023-12-15,4,3,3,3,3,3
900972,100440,2026-01-25,3,3,3,3,2,3
900973,100441,"Feb 01, 2024",5,5,5,5,5,4
900974,100441,2024-04-05,4,,3,4,,3
900975,100441,"Jun 15, 2024",5,5,4,5,4,5
900976,100441,2025-03-27,5,,4,5,5,4
900977,100444,2023-10-29,2,3,2,3,2,2
900978,100444,2024-02-07,4,4,4,5,4,4
900979,100445,2025-07-20,4,5,4,,3,4
900980,100445,04-08-2025,4,,4,4,3,3
900981,100445,2025-08-20,4,3,4,4,4,3
900982,100445,2026-03-17,4,4,3,4,3,3
900983,100447,22-08-2023,3,3,3,4,3,4
900984,100447,2023-12-12,3,3,3,3,3,3
900985,100447,2025-05-10,4,3,4,4,3,4
900986,100448,12/28/2022,4,4,3,4,4,3
900987,100448,2023-06-18,4,4,4,4,5,3
900988,100448,2023-09-06,3,3,3,4,4,4
900989,100449,2024-06-18,2,3,2,2,3,2
900990,100449,04/23/2025,4,4,3,3,4,4
900991,100449,2025-07-31,4,4,4,4,3,4
900992,100450,2024-11-14,5,5,4,4,4,5
900993,100450,2025-11-11,4,4,4,4,4,3
900994,100450,2026-01-30,3,4,4,4,3,4
900995,100451,12/22/2023,4,4,4,4,4,
900996,100452,29-03-2025,2,2,2,2,2,2
900997,100453,2022-08-05,2,2,2,2,2,1
900998,100453,18-05-2024,1,1,1,1,1,1
900999,100453,2024-12-23,1,2,1,1,1,1
901000,100454,2026-01-29,4,4,3,3,4,4
901001,100455,15-07-2024,3,3,3,3,4,3
901002,100455,2024-10-17,4,4,4,3,3,3
901003,100456,2023-08-10,3,3,4,3,3,3
901004,100456,2023-12-05,2,2,,3,2,2
901005,100457,2023-08-25,5,5,5,5,4,4
901006,100457,2024-10-01,4,4,5,5,4,4
901007,100458,09-02-2023,4,3,4,3,4,5
901008,100458,2023/06/28,4,4,3,4,4,4
901009,100458,2025-13-40,4,3,4,4,3,3
901010,100459,2025-07-05,5,5,4,4,5,4
901011,100462,2023/07/21,3,2,4,3,3,2
901012,100463,2025-06-25,3,,3,3,3,3
901013,100463,09/05/2025,2,3,2,2,2,3
901014,100464,2022-02-02,0,3,3,2,3,2
901015,100464,"Feb 17, 2022",3,3,3,3,2,3
901016,100464,2023-12-01,3,3,4,2,3,2
901017,100465,2025-09-14,2,2,2,2,2,2
901018,100465,2025-10-25,2,2,,3,3,2
901019,100465,2025-10-27,2,3,2,2,3,3
901020,100465,2025-12-30,2,2,2,2,2,2
901021,100466,2024-11-13,4,4,4,4,4,4
901022,100466,30-05-2025,4,4,3,4,4,4
901023,100467,2023-11-04,2,2,2,2,2,1
901024,100467,2024-05-27,2,1,,2,3,2
901025,100468,2025-05-13,3,2,2,2,2,3
901026,100468,02/19/2026,4,4,4,4,4,4
901027,100468,2026-04-02,4,4,4,5,4,4
901028,100470,2022-02-14,5,5,4,5,5,5
901029,100470,2024-01-23,4,4,3,4,4,4
901030,100470,2024-07-11,4,4,2,4,3,3
901031,100470,2025-05-11,4,4,4,3,4,4
901032,100471,2022-08-09,3,4,3,2,3,2
901033,100472,07/11/2024,5,5,5,5,5,5
901034,100472,2025-06-24,4,4,4,5,5,
901035,100473,2022-06-16,3,3,3,4,4,4
901036,100473,"Dec 06, 2023",4,,4,4,5,4
901037,100473,2024-05-18,4,3,3,4,4,4
901038,100473,2025-09-20,4,3,4,4,4,3
901039,100474,2025-02-14,3,,4,3,3,3
901040,100474,19-04-2025,3,4,4,3,,4
901041,100475,"Feb 26, 2022",2,2,3,2,2,2
901042,100475,2022-05-10,2,3,2,2,2,1
901043,100475,03-12-2022,2,1,2,2,2,1
901044,100476,2024-01-31,5,,5,5,4,4
901045,100476,2025-01-07,4,3,3,4,4,4
901046,100476,04/07/2025,5,5,5,5,5,5
901047,100476,"Dec 14, 2025",5,5,5,5,5,5
901048,100477,2025-04-24,4,4,4,5,4,5
901049,100479,2025-01-30,2,3,2,2,2,2
901050,100480,2023-11-28,2,1,3,3,2,1
901051,100480,2024-02-25,3,3,3,3,3,3
901052,100481,2025-12-05,5,5,,5,5,5
901053,100481,2026-03-10,4,4,4,4,4,3
901054,100481,2026-03-23,4,4,4,4,3,4
901055,100482,2023-07-03,4,3,4,3,4,
901056,100485,2024-05-05,2,2,2,2,2,2
901057,100486,2024-10-10,3,4,4,3,3,3
901058,100486,2025-06-15,3,3,2,3,2,2
901059,100487,2022-09-21,4,4,4,3,4,4
901060,100487,09/19/2024,4,4,3,,3,3
901061,100490,2022-07-26,1,1,1,1,1,2
901062,100490,2023-01-31,2,2,1,1,1,2
901063,100490,2024-01-12,2,2,1,2,1,2
901064,100490,2024-03-04,1,1,1,1,1,2
901065,100491,06/02/2024,3,3,3,4,3,4
901066,100491,11/03/2024,3,3,3,4,4,4
901067,100491,2024-12-13,2,2,1,2,3,2
901068,100491,2025-07-03,3,3,3,3,3,3
901069,100492,2023-03-07,3,3,2,3,3,3
901070,100492,11-11-2023,3,3,3,3,3,2
901071,100494,2023-09-09,4,5,4,4,4,3
901072,100494,01/16/2025,4,4,4,5,4,4
901073,100496,"Jan 28, 2026",4,5,5,4,4,4
901074,100496,2026-03-03,5,5,5,5,5,5
901075,100497,2024-08-20,3,3,2,4,3,3
901076,100497,2024/10/25,3,3,2,3,3,3
901077,100498,2026-02-05,4,4,5,4,4,4
901078,100498,2026/04/24,3,2,2,3,3,2
901079,100498,2026-04-27,3,4,4,2,3,2
901080,100499,30-06-2025,3,3,3,2,2,2
901081,100500,2022-06-02,3,3,4,3,2,1
901082,100501,2023-09-13,3,3,3,3,3,
901083,100503,"Nov 18, 2023",3,3,1,4,2,4
901084,100503,2025/06/06,3,2,4,3,2,3
901085,100503,10-02-2026,4,4,4,4,4,4
901086,100504,2023/06/29,4,4,4,4,4,2
901087,100505,"Mar 19, 2026",4,4,4,3,4,3
901088,100505,03/29/2026,3,4,4,3,4,3
901089,100505,2026-04-17,3,3,3,5,3,4
901090,100507,2022-07-19,4,4,3,5,4,4
901091,100507,2022-09-23,5,4,5,5,5,4
901092,100507,2023-05-19,4,4,4,3,4,
901093,100507,2024-04-28,5,5,5,5,5,5
901094,100508,2024-01-01,4,3,4,3,4,4
901095,100508,07-10-2024,4,4,4,4,4,4
901096,100508,2025-08-06,4,4,4,,3,4
901097,100508,2025-12-24,3,4,3,4,4,2
901098,100509,2022-10-27,4,4,4,4,3,3
901099,100510,03/21/2025,4,5,4,5,5,4
901100,100510,2025-04-08,4,4,5,5,4,4
901101,100510,2026-04-29,4,5,5,3,4,4
901102,100512,04-04-2022,3,3,3,5,3,3
901103,100512,06-02-2023,3,4,3,4,3,4
901104,100512,2024-01-27,3,3,3,3,4,4
901105,100515,2024-01-16,5,5,5,5,5,4
901106,100515,2024-05-18,5,4,5,5,4,4
